,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH
StrongSeed_VotingClassifier_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Col Charleston,Purdue,Tennessee,Akron,Samford,Longwood,WKU,Kentucky,Vermont,FL Atlantic,Drake,North Carolina,Nevada,TCU,Virginia,Longwood,Florida,Auburn,North Carolina,McNeese St,James Madison,Auburn,Akron,Auburn
WeakSeed_VotingClassifier_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,South Carolina,McNeese St,Texas A&M,Florida,NC State,James Madison,Auburn,BYU,Grand Canyon,New Mexico,McNeese St,Akron,James Madison,Kentucky,BYU,New Mexico,Akron,Florida,North Carolina,James Madison,James Madison
Winner_VotingClassifier_avg,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Virginia,TCU,Longwood,WKU,Kentucky,Vermont,James Madison,NC State,Florida,Texas A&M,FL Atlantic,Drake,BYU,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Akron,McNeese St,Longwood,Florida,Kentucky,James Madison,Auburn,BYU,North Carolina,New Mexico,McNeese St,Akron,James Madison,Florida,Auburn,North Carolina,Akron,James Madison,Auburn,James Madison,James Madison
StrongSeed_MLPClassifier_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Colgate,Alabama,Purdue,Tennessee,Akron,Samford,Houston,WKU,Oakland,Vermont,Connecticut,Iowa St,North Carolina,Arizona,Utah St,Tennessee,Houston,Florida,Auburn,North Carolina,McNeese St,James Madison,Auburn,Tennessee,Auburn
WeakSeed_MLPClassifier_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Florida,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,McNeese St,Akron,James Madison,NC State,Illinois,New Mexico,Tennessee,Florida,North Carolina,James Madison,James Madison
Winner_MLPClassifier_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Texas,Utah St,Houston,WKU,Oakland,Vermont,James Madison,NC State,Florida,Texas A&M,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,New Mexico,Alabama,Utah St,Tennessee,Akron,McNeese St,Houston,Florida,NC State,James Madison,Auburn,Illinois,North Carolina,New Mexico,McNeese St,Tennessee,James Madison,Florida,Auburn,North Carolina,Tennessee,James Madison,Auburn,James Madison,James Madison
StrongSeed_GaussianNB_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Kentucky,Duke,Northwestern,Drake,Michigan St,Nevada,TCU,Colorado St,Houston,Marquette,Auburn,Alabama,Kansas,Houston,Illinois,Kansas,Illinois
WeakSeed_GaussianNB_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,New Mexico,Colorado St,Marquette,Alabama,Houston,Houston
Winner_GaussianNB_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Marquette,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Colorado St,Houston,Marquette,Illinois,Alabama,Kansas,Houston,Illinois,Houston,Houston
StrongSeed_LogisticRegression_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Duke,Northwestern,Iowa St,Michigan St,Nevada,TCU,Colorado St,Houston,Colorado,Auburn,Alabama,Kansas,Houston,Iowa St,Kansas,Alabama
WeakSeed_LogisticRegression_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Oregon,Duke,NC State,Iowa St,Nevada,Colorado St,Colorado,Alabama,Houston,Houston
Winner_LogisticRegression_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Alabama,Kansas,Houston,Alabama,Houston,Houston
StrongSeed_DecisionTreeClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Colgate,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Kentucky,Duke,Northwestern,Iowa St,Michigan St,Arizona,TCU,Colorado St,Houston,Colorado,Auburn,Alabama,TCU,Houston,Auburn,TCU,Auburn
WeakSeed_DecisionTreeClassifier_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Oregon,Duke,Kentucky,Iowa St,Arizona,Colorado St,Kentucky,Arizona,Houston,Houston
Winner_DecisionTreeClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Arizona,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,Kentucky,Duke,Auburn,Iowa St,Alabama,Arizona,TCU,Colorado St,Houston,Kentucky,Auburn,Arizona,TCU,Houston,Auburn,Houston,Houston
StrongSeed_RandomForestClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Duke,Northwestern,Iowa St,Michigan St,Nevada,TCU,Colorado St,Houston,Colorado,Auburn,Alabama,Kansas,Houston,Iowa St,Kansas,Iowa St
WeakSeed_RandomForestClassifier_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Oregon,Duke,NC State,Iowa St,Nevada,Colorado St,Colorado,Nevada,Houston,Houston
Winner_RandomForestClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Nevada,Kansas,Houston,Iowa St,Houston,Houston
StrongSeed_XGBClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Duke,Northwestern,Iowa St,Michigan St,Nevada,TCU,Colorado St,Houston,Colorado,Auburn,Alabama,Kansas,Houston,Iowa St,Kansas,Nevada
WeakSeed_XGBClassifier_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Oregon,Duke,NC State,Iowa St,Nevada,Colorado St,Colorado,Nevada,Houston,Houston
Winner_XGBClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Nevada,Kansas,Houston,Nevada,Houston,Nevada
StrongSeed_VotingClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Duke,Northwestern,Iowa St,Michigan St,Nevada,TCU,Colorado St,Houston,Colorado,Auburn,Alabama,Kansas,Houston,Iowa St,Kansas,Nevada
WeakSeed_VotingClassifier_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Oregon,Duke,NC State,Iowa St,Nevada,Colorado St,Colorado,Nevada,Houston,Houston
Winner_VotingClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Nevada,Kansas,Houston,Nevada,Houston,Houston
StrongSeed_MLPClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Duke,Connecticut,Iowa St,Michigan St,Nevada,TCU,Colorado St,Houston,Colorado,Connecticut,Alabama,Kansas,Houston,Iowa St,Kansas,Nevada
WeakSeed_MLPClassifier_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,Kansas,Oregon,Duke,NC State,Iowa St,Nevada,Colorado St,Colorado,Nevada,Houston,Kansas
Winner_MLPClassifier_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Connecticut,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Nevada,Kansas,Houston,Nevada,Kansas,Nevada
StrongSeed_GaussianNB_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Vermont,Connecticut,Drake,North Carolina,Arizona,Purdue,Colorado St,Houston,Marquette,Connecticut,North Carolina,Kansas,Houston,Connecticut,Kansas,Connecticut
WeakSeed_GaussianNB_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,San Diego St,BYU,Grand Canyon,New Mexico,Kansas,Creighton,James Madison,Kentucky,BYU,Arizona,Creighton,Kentucky,Arizona,Houston,Houston
Winner_GaussianNB_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Vermont,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,BYU,San Diego St,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Colorado St,Creighton,Kansas,Houston,Marquette,Kentucky,James Madison,Connecticut,BYU,North Carolina,Arizona,Kansas,Creighton,Houston,Kentucky,Connecticut,Arizona,Kansas,Houston,Connecticut,Houston,Houston
StrongSeed_DecisionTreeClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Colgate,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Vermont,Connecticut,Iowa St,North Carolina,Nevada,Purdue,Tennessee,Texas A&M,Colorado,Auburn,Grand Canyon,Kansas,Texas A&M,Illinois,Kansas,Grand Canyon
WeakSeed_DecisionTreeClassifier_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,New Mexico,Tennessee,NC State,Grand Canyon,Texas A&M,Kansas
Winner_DecisionTreeClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,Duquesne,Drake,Northwestern,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Tennessee,Texas A&M,NC State,Illinois,Grand Canyon,Kansas,Texas A&M,Grand Canyon,Kansas,Kansas
StrongSeed_LogisticRegression_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Colgate,Alabama,Purdue,Tennessee,Akron,Samford,Houston,Marquette,Kentucky,Duke,Connecticut,Drake,North Carolina,Arizona,Purdue,Colorado St,Houston,Colorado,Auburn,Grand Canyon,Purdue,Houston,Auburn,Purdue,Arizona
WeakSeed_LogisticRegression_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,BYU,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,BYU,Grand Canyon,New Mexico,McNeese St,Oregon,James Madison,Kentucky,BYU,Arizona,Colorado St,Kentucky,Arizona,Houston,Purdue
Winner_LogisticRegression_avg_rating,Connecticut,Iowa St,Illinois,Auburn,UAB,BYU,Drake,Northwestern,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,BYU,Auburn,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Colorado St,Oregon,McNeese St,Houston,Colorado,Kentucky,James Madison,Auburn,BYU,Grand Canyon,Arizona,Purdue,Colorado St,Houston,Kentucky,Auburn,Arizona,Purdue,Houston,Arizona,Purdue,Purdue
StrongSeed_RandomForestClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Vermont,Connecticut,Drake,North Carolina,Nevada,Purdue,Tennessee,Houston,Marquette,Connecticut,North Carolina,Kansas,Houston,Connecticut,Tennessee,Connecticut
WeakSeed_RandomForestClassifier_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,San Diego St,BYU,Grand Canyon,New Mexico,Kansas,Creighton,James Madison,Kentucky,BYU,New Mexico,Tennessee,Marquette,New Mexico,Houston,Houston
